Time,Source IP,Destination IP,Protocol,Packet Length
"""Jun 13"," 2025 12:04:46.551014000 IST""","""172.19.0.2""","""172.19.0.3""","""TCP""","""80"""
"""Jun 13"," 2025 12:04:46.551015000 IST""","""172.19.0.2""","""172.19.0.3""","""TCP""","""80"""
"""Jun 13"," 2025 12:04:46.551025000 IST""","""172.19.0.3""","""172.19.0.2""","""TCP""","""72"""
"""Jun 13"," 2025 12:04:46.551026000 IST""","""172.19.0.3""","""172.19.0.2""","""TCP""","""72"""
"""Jun 13"," 2025 12:04:46.551074000 IST""","""172.19.0.3""","""172.19.0.2""","""TCP""","""80"""
"""Jun 13"," 2025 12:04:46.551075000 IST""","""172.19.0.3""","""172.19.0.2""","""TCP""","""80"""
"""Jun 13"," 2025 12:04:46.551087000 IST""","""172.19.0.2""","""172.19.0.3""","""TCP""","""80"""
"""Jun 13"," 2025 12:04:46.551088000 IST""","""172.19.0.2""","""172.19.0.3""","""TCP""","""80"""
"""Jun 13"," 2025 12:04:46.551098000 IST""","""172.19.0.3""","""172.19.0.2""","""TCP""","""72"""
"""Jun 13"," 2025 12:04:46.551099000 IST""","""172.19.0.3""","""172.19.0.2""","""TCP""","""72"""
"""Jun 13"," 2025 12:04:46.551145000 IST""","""172.19.0.3""","""172.19.0.2""","""TCP""","""80"""
"""Jun 13"," 2025 12:04:46.551146000 IST""","""172.19.0.3""","""172.19.0.2""","""TCP""","""80"""
"""Jun 13"," 2025 12:04:46.551158000 IST""","""172.19.0.2""","""172.19.0.3""","""TCP""","""80"""
"""Jun 13"," 2025 12:04:46.551159000 IST""","""172.19.0.2""","""172.19.0.3""","""TCP""","""80"""
"""Jun 13"," 2025 12:04:46.551170000 IST""","""172.19.0.3""","""172.19.0.2""","""TCP""","""72"""
"""Jun 13"," 2025 12:04:46.551171000 IST""","""172.19.0.3""","""172.19.0.2""","""TCP""","""72"""
"""Jun 13"," 2025 12:04:46.551234000 IST""","""172.19.0.3""","""172.19.0.2""","""TCP""","""80"""
"""Jun 13"," 2025 12:04:46.551235000 IST""","""172.19.0.3""","""172.19.0.2""","""TCP""","""80"""
"""Jun 13"," 2025 12:04:46.551248000 IST""","""172.19.0.2""","""172.19.0.3""","""TCP""","""80"""
"""Jun 13"," 2025 12:04:46.551249000 IST""","""172.19.0.2""","""172.19.0.3""","""TCP""","""80"""
"""Jun 13"," 2025 12:04:46.551259000 IST""","""172.19.0.3""","""172.19.0.2""","""TCP""","""72"""
"""Jun 13"," 2025 12:04:46.551260000 IST""","""172.19.0.3""","""172.19.0.2""","""TCP""","""72"""
"""Jun 13"," 2025 12:04:46.551308000 IST""","""172.19.0.3""","""172.19.0.2""","""TCP""","""80"""
"""Jun 13"," 2025 12:04:46.551309000 IST""","""172.19.0.3""","""172.19.0.2""","""TCP""","""80"""
"""Jun 13"," 2025 12:04:46.551321000 IST""","""172.19.0.2""","""172.19.0.3""","""TCP""","""80"""
"""Jun 13"," 2025 12:04:46.551322000 IST""","""172.19.0.2""","""172.19.0.3""","""TCP""","""80"""
"""Jun 13"," 2025 12:04:46.551333000 IST""","""172.19.0.3""","""172.19.0.2""","""TCP""","""72"""
"""Jun 13"," 2025 12:04:46.551334000 IST""","""172.19.0.3""","""172.19.0.2""","""TCP""","""72"""
"""Jun 13"," 2025 12:04:46.551419000 IST""","""172.19.0.3""","""172.19.0.2""","""TCP""","""80"""
"""Jun 13"," 2025 12:04:46.551420000 IST""","""172.19.0.3""","""172.19.0.2""","""TCP""","""80"""
"""Jun 13"," 2025 12:04:46.551432000 IST""","""172.19.0.2""","""172.19.0.3""","""TCP""","""80"""
"""Jun 13"," 2025 12:04:46.551433000 IST""","""172.19.0.2""","""172.19.0.3""","""TCP""","""80"""
"""Jun 13"," 2025 12:04:46.551444000 IST""","""172.19.0.3""","""172.19.0.2""","""TCP""","""72"""
"""Jun 13"," 2025 12:04:46.551453000 IST""","""172.19.0.3""","""172.19.0.2""","""TCP""","""72"""
"""Jun 13"," 2025 12:04:46.551504000 IST""","""172.19.0.3""","""172.19.0.2""","""TCP""","""80"""
"""Jun 13"," 2025 12:04:46.551505000 IST""","""172.19.0.3""","""172.19.0.2""","""TCP""","""80"""
"""Jun 13"," 2025 12:04:46.551518000 IST""","""172.19.0.2""","""172.19.0.3""","""TCP""","""80"""
"""Jun 13"," 2025 12:04:46.551518000 IST""","""172.19.0.2""","""172.19.0.3""","""TCP""","""80"""
